seqno,link,title,summary,methodology
114,https://arxiv.org/pdf/2301.00620.pdf,"""Dynamically Modular and Sparse General Continual Learning""","The paper discusses the problem of deep neural networks (DNNs) undergoing catastrophic forgetting when learning from non-stationary data, and proposes a solution called dynamos, which is inspired by sparse coding in the brain. Dynamos enable DNNs to respond to incoming stimuli by activating relevant subsets of neurons, which allows for modular and specialized representations that maintain reusability. The effectiveness of the method is demonstrated on multiple datasets under challenging continual learning evaluation protocols. The code for Dynamos is publicly available.","**Key Elements of Dynamos Algorithm:**

1. **Dynamic Modularity:**
   - Introduce multiple agents, each responsible for dynamically zeroing out filter activations in a convolutional layer based on the input.
   - Agents receive rewards for choosing actions that remove activations (sparse responses) if the network predictions are accurate.
   - Agents are heavily penalized for choosing actions that lead to inaccurate predictions.

2. **Sparsity:**
   - Agents learn to activate only a subset of neurons in the convolutional layer, leading to sparse responses.
   - This promotes specialization of different neurons or groups of neurons to different stimuli.

3. **Prototype Loss:**
   - Incorporate prototype losses to encourage agents to learn specialized features.
   - Prototypes are class-specific representations that serve as exemplars of each class.
   - The prototype loss penalizes deviations of features from their corresponding prototypes.

4. **Rehearsal-based Continual Learning:**
   - Utilize a rehearsal buffer to store a subset of previously encountered data.
   - During training, co-train the network on current data and a subset of data from the rehearsal buffer.

**Pseudo-code for the Dynamos Algorithm:**

```
Initialize agents for each convolutional layer
Initialize prototype vectors for each class

While training:
    Get a batch of data
    Forward pass the data through the network
    Calculate agent rewards and prototype losses
    Update agent policies and network parameters
    Add a subset of data to the rehearsal buffer

During inference:
    Forward pass the data through the network using the learned agent policies
    Make predictions based on the network output
```"
352,https://arxiv.org/abs/2110.14914,"Title: ""Selective Classification for Trading Strategies: Empirical Evaluation and Potential in Quantitative Finance""","The paper explores the use of selective classification in designing trading strategies. Selective classification allows for abstaining from making predictions for certain inputs, allowing a trade-off between accuracy and coverage. The authors evaluate binary and ternary selective classifiers using different classification approaches and test them as trading strategies in commodity futures markets. The empirical results demonstrate the potential of selective classification for trading.","The paper proposes a novel trading strategy based on selective classification, which allows a classifier to abstain from making a prediction for certain inputs. This allows the trading strategy to avoid taking a trading position when the classifier is uncertain about the direction of the price movement.

The key elements of the proposed algorithm are:

1. **Selective Classifier:** The selective classifier is a binary or many-class classifier that can abstain from making a prediction for certain inputs. This is achieved by introducing a third class, which corresponds to relatively small price moves in either direction.

2. **Training and Validation:** The selective classifier is trained and validated using a walk-forward train-validate-test approach. This involves dividing the data into three sets: training set, validation set, and test set. The classifier is trained on the training set, validated on the validation set, and evaluated on the test set.

3. **Trading Strategy:** The selective classifier is used to create a trading strategy that takes a trading position when the classifier predicts that the price will move in a certain direction. When the classifier abstains from making a prediction, the trading strategy does not take a trading position.

The paper provides empirical results demonstrating the potential of selective classification for trading. The proposed trading strategy outperforms several benchmark strategies, including a buy-and-hold strategy and a simple moving average crossover strategy.

Pseudo-code for the selective classifier trading strategy:

```
def selective_classifier_trading_strategy(classifier, data):
    # Initialize variables
    positions = []  # List to store trading positions
    returns = []  # List to store returns

    # Iterate over the data
    for i in range(len(data)):
        # Get the features and price movement for the current time step
        features = data[i, :-1]
        price_movement = data[i, -1]

        # Make a prediction using the classifier
        prediction = classifier.predict(features)

        # Take a trading position based on the prediction
        if prediction == ""Up"":
            positions.append(1)  # Long position
        elif prediction == ""Down"":
            positions.append(-1)  # Short position
        else:  # Abstain from taking a position
            positions.append(0)

        # Calculate the return for the current time step
        if i > 0:
            returns.append(price_movement * positions[i] - price_movement * positions[i-1])

    # Return the positions and returns
    return positions, returns
```"
413,https://arxiv.org/pdf/2303.06053.pdf,TSMixer: An All-MLP Architecture for Time Series Forecasting,"The paper introduces TSMixer, an architecture for time series forecasting that uses multi-layer perceptrons (MLPs) to efficiently extract information from both the time and feature dimensions of the data. The authors compare TSMixer to specialized models and find that it performs comparably on academic benchmarks and demonstrates superior performance on a real-world retail dataset. The paper concludes that effectively utilizing cross-variate and auxiliary information is important for improving time series forecasting and that TSMixer opens new possibilities for deep learning-based forecasting. The implementation of TSMixer is available on GitHub.","Sure, here are the key elements of the novel algorithm proposed in the paper ""TSMixer: An All-MLP Architecture for Time Series Forecasting"":

**Key Elements of TSMixer:**

1. **Time-Mixing MLPs:**
   - A stack of MLPs applied row-wise across the time dimension.
   - Shares weights across all features.
   - Captures temporal patterns and dependencies.

2. **Feature-Mixing MLPs:**
   - A stack of MLPs applied column-wise across the feature dimension.
   - Shares weights across all time steps.
   - Captures cross-variate correlations and dependencies.

3. **Residual Connections:**
   - Each time-mixing and feature-mixing MLP is followed by a residual connection.
   - Preserves the capacity of temporal linear models while allowing cross-variate information exploitation.

4. **Auxiliary Information:**
   - TSMixer can incorporate auxiliary information by concatenating it with the input time series.
   - Improves forecasting performance when auxiliary information is relevant to the target time series.

**Pseudo-code:**

```python
def TSMixer(inputs, num_time_mixing_layers, num_feature_mixing_layers):
  # inputs: [batch_size, time_steps, num_features]

  # Time-mixing MLPs
  for _ in range(num_time_mixing_layers):
    inputs = TimeMixingMLP(inputs)

  # Feature-mixing MLPs
  for _ in range(num_feature_mixing_layers):
    inputs = FeatureMixingMLP(inputs)

  # Output layer
  outputs = Linear(inputs)

  return outputs


def TimeMixingMLP(inputs):
  # inputs: [batch_size, time_steps, num_features]

  # MLP layers
  x = inputs
  for i in range(num_layers):
    x = Linear(x)
    x = ReLU(x)

  # Residual connection
  outputs = inputs + x

  return outputs


def FeatureMixingMLP(inputs):
  # inputs: [batch_size, time_steps, num_features]

  # MLP layers
  x = inputs
  for i in range(num_layers):
    x = Linear(x)
    x = ReLU(x)

  # Residual connection
  outputs = inputs + x

  return outputs
```

**Benefits and Applications:**

- TSMixer achieves state-of-the-art results on various time series forecasting benchmarks.
- It is simple to implement and can be easily extended to incorporate auxiliary information.
- TSMixer is particularly effective when cross-variate information is relevant to the target time series.
- It can be applied to a wide range of time series forecasting tasks, including demand forecasting, pandemic spread prediction, and inflation rate forecasting.

The authors of the paper provide an open-source implementation of TSMixer in TensorFlow at https://github.com/google-research/google-research/tree/master/tsmixer.

Please note that the provided pseudo-code is a simplified representation of the TSMixer algorithm and may not cover all the details and optimizations mentioned in the paper."
430,https://arxiv.org/pdf/2310.00873.pdf,"Title: ""Deep Neural Networks: Extrapolating Predictably Towards Optimal Constant Solutions""","The authors of this paper challenge the conventional wisdom that neural network predictions become unpredictable and overconfident when given out-of-distribution inputs. They observe that neural network predictions tend to converge towards a constant value as the input data becomes more out-of-distribution, which is often close to the optimal constant solution (OCS). They provide evidence for this behavior across multiple datasets, loss functions, and network architectures. They also explain this phenomenon by showing that the feature representations of out-of-distribution inputs have smaller norms and are dominated by input-independent parts of the network. Finally, they propose a strategy to enable risk-sensitive decision-making in the presence of out-of-distribution inputs by aligning the OCS with the desirable cautious behavior.","Key Elements of the Novel Algorithm:

1. Observation of Predictable Extrapolation:
   - Neural networks with high-dimensional inputs often tend to extrapolate predictably when presented with OOD data.
   - As input data becomes increasingly OOD, neural network predictions converge towards a constant value.
   - This constant value often approximates the optimal constant solution (OCS), which is the prediction that minimizes the average loss over the training data without observing the input.

2. Experimental Validation:
   - Conducted experiments on 8 datasets with different distributional shifts, including CIFAR10-C and ImageNet-R, S.
   - Utilized different loss functions (cross entropy, MSE, and Gaussian NLL) and architectures (CNNs and transformers).
   - Results consistently showed that the amount of distributional shift correlates strongly with the distance between model outputs and the OCS.

3. Explanation of Behavior:
   - Empirical analysis revealed that feature representations corresponding to OOD inputs tend to have smaller norms than those of in-distribution inputs.
   - This leads to less signal being propagated from the input, resulting in neural network outputs being dominated by the input-independent parts of the network (e.g., bias vectors at each layer).
   - These biases often map closely to the OCS, explaining the observed extrapolation behavior.

4. Theoretical Analysis:
   - Conducted a theoretical analysis of the extrapolation behavior of deep homogeneous networks with ReLU activations.
   - Derived evidence that supports the observed mechanism in the simplified setting.

5. Application in Risk-Sensitive Decision-Making:
   - Proposed a strategy to enable risk-sensitive decision-making in the presence of OOD inputs.
   - This strategy leverages the observation that the OCS can be viewed as a backup default output to which the neural network reverts when it encounters novel inputs.
   - By designing the loss function such that the OCS aligns with the desired cautious behavior, the neural network can automatically produce cautious decisions when its inputs are OOD.
   - Empirically demonstrated the effectiveness of this strategy in OOD selective classification.

Pseudo-Code (if applicable):
No pseudo-code provided in the paper."
437,https://arxiv.org/pdf/2309.15312.pdf,"""MAPTree: A Bayesian Approach to Decision Tree Induction""","The paper introduces MAPTree, a Bayesian approach to decision tree induction. MAPTree utilizes maximum a posteriori inference to recover the maximum a posteriori tree. It outperforms baselines on real-world datasets and demonstrates better robustness to noise and generalization on synthetic data. Additionally, MAPTree is faster than existing sampling approaches and provides a certificate of optimality.","### Key Elements of the MAPTree Algorithm

1. **Bayesian Decision Trees (BDTs):**
   - BDTs model the uncertainty in the data by defining a posterior distribution over decision trees.
   - Maximum a posteriori (MAP) inference is used to find the most probable decision tree from the posterior distribution.

2. **Connection to AND/OR Search:**
   - The MAP inference process in BDTs can be formulated as an AND/OR search problem.
   - AND nodes represent logical conjunctions (e.g., all features must satisfy a condition), while OR nodes represent logical disjunctions (e.g., any of the features can satisfy a condition).

3. **MAPTree Algorithm:**
   - MAPTree is an algorithm that performs AND/OR search to find the MAP tree of the BDT posterior.
   - It uses a combination of depth-first search and beam search to efficiently explore the AND/OR graph.
   - A heuristic function is used to guide the search towards more promising regions of the graph.

4. **Benefits of MAPTree:**
   - MAPTree can find the optimal decision tree faster than previous sampling-based approaches.
   - It provides a certificate of optimality, meaning it can guarantee that the found tree is the MAP tree.
   - The resulting trees are often smaller and more interpretable than those obtained from greedy algorithms or ODTs.

5. **Experimental Results:**
   - MAPTree outperforms baselines or demonstrates comparable performance with smaller trees on 16 real-world datasets.
   - On a synthetic dataset, MAPTree shows greater robustness to noise and better generalization than existing methods.

### Pseudo-code for the MAPTree Algorithm:

```python
function MAPTree(data, max_depth, prior):
    # Initialize the AND/OR graph with the root node
    graph = initialize_graph(data)

    # Initialize the beam search with the root node
    beam = [root_node]

    # Perform depth-first search and beam search
    while beam is not empty:
        # Select the node with the highest heuristic value from the beam
        node = select_node(beam)

        # If the node is a leaf node or the maximum depth is reached, add it to the solution
        if is_leaf_node(node) or node.depth == max_depth:
            add_to_solution(node)
        else:
            # Expand the node and add its children to the beam
            children = expand_node(node)
            beam.extend(children)

    # Return the MAP tree
    return best_solution
```

This pseudo-code provides a high-level overview of the MAPTree algorithm. The actual implementation involves additional details such as the heuristic function, pruning strategies, and handling of continuous features."
442,https://arxiv.org/pdf/2303.00914.pdf,"""Neuro-Modulated Hebbian Learning for Fully Test-Time Adaptation""",The paper discusses a method called Neuro-Modulated Hebbian Learning (NHL) for fully test-time adaptation of deep neural networks. The method combines a feed-forward soft Hebbian learning process with a feedback neuro-modulation layer to adapt the network model during the testing process. Experimental results show that the NHL method improves the adaptation performance of network models and outperforms existing methods. The paper also highlights the challenges in fully test-time adaptation and proposes the use of Hebbian learning for effective early layer representation learning.,"**Key Elements of Neuro-Modulated Hebbian Learning for Fully Test-Time Adaptation**

1. **Soft Hebbian Learning:**
   - Inspired by biological plausibility learning, a soft Hebbian learning process is designed.
   - Provides unsupervised and effective mechanism for online adaptation.
   - Neurons' responses are tuned based on a local synapse-change procedure.
   - Activated by competitive lateral inhibition rules.


2. **Neuro-Modulation Layer:**
   - Incorporated to capture and utilize feedback from external responses.
   - Feedback is generated by error back-propagation from the top inference layers.
   - Fine-tunes neuron responses based on the external feedback.


3. **Unsupervised Feed-Forward Soft Hebbian Learning:**
   - Combined with a learned neuro-modulator to capture feedback from external responses.
   - Enables effective adaptation of the source model during testing.


**Pseudo-Code for Neuro-Modulated Hebbian Learning (NHL) Method:**

1. **Initialization:**
   - Initialize a source model, M, trained on the source domain data.
   - Initialize the neuro-modulation layer weights, W_n.


2. **Online Adaptation:**
   - For each test sample, x, in the target domain:
     1. Compute the feature maps, F_x, using the source model, M.
     2. Apply soft Hebbian learning on F_x to obtain updated feature maps, F'_x.
     3. Compute the neuro-modulation signal, N_x, using W_n.
     4. Modulate F'_x with N_x to obtain the final feature maps, F_x''.
     5. Perform inference on F_x'' to obtain the prediction, y.


3. **Neuro-Modulation Layer Learning:**
   - Minimize a loss function that measures the inconsistency between the predictions obtained from F_x'' and those obtained from F_x.
   - Update the weights, W_n, of the neuro-modulation layer using back-propagation.


4. **Testing:**
   - Use the adapted model, M', for inference on the target domain test data.

**Key Results:**

- NHL significantly improves the adaptation performance of network models.
- Outperforms existing fully test-time adaptation methods on benchmark datasets.
- Effective in adapting to various types of domain variations, including corruption, style transfer, and object removal."
455,https://arxiv.org/pdf/2310.07996.pdf,"""Resetting Last-Layer Weights for Improved Continual and Transfer Learning""","The authors propose a simple pre-training mechanism called ""zapping,"" which involves resetting and relearning the weights in the last layer of a neural network. They demonstrate that this zapping procedure improves transfer accuracy and rapid adaptation in both standard fine-tuning and continual learning tasks. The effectiveness of zapping is attributed to the ability of representations trained with this mechanism to rapidly adapt to newly initialized classifiers. The authors argue that zapping can be a computationally cheaper alternative to meta-learning for generating adaptable features.","1. **Key Idea:** Resetting the weights of the last layer (or layers) of a neural network during training can lead to better continual and transfer learning performance. This technique is called ""zapping.""

2. **Pseudo-code:**
   
   ```
   while training_loop:
       # Train the network on a batch of data
       forward_pass()
       backward_pass()
       update_weights()
   
       # Zap the last layer weights with some probability
       if random() < zapping_probability:
           reset_last_layer_weights()
   ```

3. **Explanation:**
   - Zapping the last layer weights forces the network to relearn the mapping from the penultimate layer to the output layer.
   - This helps the network to learn more generalizable representations that are less sensitive to changes in the output layer weights.
   - As a result, the network is better able to adapt to new tasks or transfer to new datasets.

4. **Benefits:**
   - Improved continual and transfer learning performance
   - Simple to implement and computationally efficient
   - Can be used with any neural network architecture or training algorithm"
457,https://arxiv.org/pdf/2310.10500.pdf,Adapting Few-Shot Learning Patterns for Trend-Following Strategies in Financial Time-Series,"The paper discusses the challenge of adapting forecasting models in financial markets when market conditions change. The authors propose a time-series trend-following forecaster called X-Trend that uses few-shot learning to quickly adapt to new market conditions. They compare X-Trend to a neural forecaster and a conventional time-series momentum strategy, finding that X-Trend achieves higher Sharpe ratios and recovers more quickly from market drawdowns. Additionally, X-Trend is able to make predictions and take positions on novel unseen financial assets.","**Key Elements of the Novel Algorithm:**

1. **Cross Attentive Time-Series Trend Network (X-Trend):** 

   - A neural network model for few-shot learning in financial time-series.

2. **Context Set:** 

   - A collection of financial time-series regimes from different assets used for transfer learning.

3. **Cross-Attention Layer:** 

   - A neural network layer that allows the target sequence to attend over patterns in the context set.

4. **Predictive PDF to Traded Position (PTP) Module:** 

   - A module that generates trading signals from the predicted distribution over next-day returns.

5. **Sharpe Ratio Loss:** 

   - A loss function that jointly optimizes the Sharpe ratio and negative log-likelihood.

**Pseudo-Code:**

1. **Input:** 

   - Target sequence: A financial time-series regime for which we want to make predictions.

   - Context set: A collection of financial time-series regimes from different assets.

2. **Cross-Attention:** 

   - Calculate the attention weights between the target sequence and each regime in the context set.

   - Use the attention weights to aggregate information from the context set.

3. **Prediction:** 

   - Use the aggregated information from the context set to predict the next-day return of the target sequence.

4. **Trading Signal:** 

   - Use the predicted distribution over next-day returns to generate a trading signal using the PTP module.

5. **Training:** 

   - Optimize the model parameters by jointly minimizing the Sharpe ratio loss and negative log-likelihood.

**Key Contributions:**

1. **Few-shot Learning for Financial Time-Series:** 

   - Proposes a novel few-shot learning approach for financial time-series forecasting.

2. **Cross-Attention Layer:** 

   - Introduces a cross-attention layer for transferring trends from similar patterns in the context set.

3. **Improved Performance:** 

   - Demonstrates improved performance over conventional time-series momentum strategies and neural forecasters, especially during turbulent market periods.

4. **Zero-shot Learning:** 

   - Shows that the model can make predictions on novel unseen financial assets without any training data."
453,https://arxiv.org/pdf/2310.10971.pdf,"""In-Context Learning for Visual Meta-Learning: A Context-Aware Meta-Learning Algorithm for Learning New Visual Concepts Without Fine-Tuning""",This paper proposes a meta-learning algorithm called Context-Aware Meta-Learning (CAML) that emulates Large Language Models (LLMs) by learning new visual concepts during inference without fine-tuning. The algorithm leverages a pre-trained feature extractor and recasts meta-learning as sequence modeling. CAML outperforms or matches the state-of-the-art meta-learning algorithm on 8 out of 11 benchmarks without the need for meta-training or fine-tuning. This approach allows for learning new visual concepts during inference without the limitations of traditional meta-learning algorithms.,"**Key Elements of the Proposed Algorithm:**

1. **Contextual Embedding:**
   - The algorithm reformulates n-way-k-shot image classification as sequence modeling.
   - It concatenates the embeddings of support set images and labels, forming joint image-label embeddings.
   - These embeddings are then arranged in a sequence, including the query image embedding.

2. **Sequence Model:**
   - The algorithm employs a pre-trained sequence model (e.g., a Transformer encoder) to process the sequence.
   - The sequence model learns relationships between support set images and labels, enabling it to classify the query image.

3. **In-Context Learning Objective:**
   - During pre-training, the sequence model is trained with an explicit in-context learning objective.
   - This objective encourages the model to extrapolate to new classes and learn new visual concepts during inference.

4. **Frozen Feature Extractor:**
   - To promote universal meta-learning, a frozen CLIP model is used as the feature extractor.
   - This prevents the algorithm from adapting to specific datasets or tasks, enabling it to generalize to diverse visual concepts.

5. **ELMES Encoding:**
   - Support set labels are represented using an Equal Length and Maximally Equiangular Set (ELMES) encoding.
   - ELMES minimizes the entropy of detecting classes within the support set and does not require learning.

**Pseudo-Code:**

```python
def meta_learn(support_images, support_labels, query_image):
    # Encode support images and labels
    support_image_embeddings = encode_images(support_images)
    support_label_embeddings = encode_labels(support_labels)
    joint_embeddings = concatenate(support_image_embeddings, support_label_embeddings)

    # Collate embeddings into a sequence
    sequence = [query_image_embedding] + joint_embeddings

    # Pre-trained sequence model
    sequence_model_output = sequence_model(sequence)

    # Predict query image label
    predicted_label = predict_label(sequence_model_output)

    return predicted_label
```

**Key Innovations:**

- **Contextual Encoding and Sequence Modeling:** By reformulating meta-learning as sequence modeling, CAML enables the model to attend to specific visual features in the support set, enhancing classification accuracy.
- **In-Context Learning Objective:** The explicit in-context learning objective encourages the model to extrapolate to new classes and learn new visual concepts during inference, making it suitable for universal meta-learning.
- **Frozen Feature Extractor and ELMES Encoding:** The use of a frozen feature extractor and ELMES encoding promotes universal meta-learning by preventing adaptation to specific datasets or tasks and minimizing the entropy of detecting classes."
397,https://arxiv.org/pdf/2305.16817.pdf,"""Selective Mixup: Uncovering the Mechanisms and Benefits of Non-Random Pair Selection""","The paper explores the concept of selective mixup, a technique used to improve the generalization of neural networks by combining random pairs of training data. The authors find that the non-random selection of pairs in selective mixup affects the training distribution and improves generalization through mechanisms unrelated to mixing. They show that mixup across classes implicitly resamples the data for a uniform class distribution, which explains much of the improvements seen in previous work. The paper also identifies the limits of selective mixup and confirms the effectiveness of resampling techniques.","**Key Elements of the Novel Algorithm:**

- **Selective Mixup:** A family of methods that apply mixup to specific pairs of examples, e.g. only combining examples across classes or domains.

- **Implicit Resampling:** The non-random selection of pairs affects the training distribution and improves generalization by means unrelated to the mixing.

- **Regression Toward the Mean:** Conditioning on a different attribute (e.g. combining examples across classes or domains) brings the training distribution of this attribute closer to a uniform one.

**Pseudo-code for Selective Mixup:**

```
Input: Training data {x_i, y_i} and selection criterion

for each batch do
    Select a set of pairs of examples {x_i, x_j} according to the selection criterion
    Compute the mixup interpolation coefficient λ for each pair
    Combine the pairs to form new examples {x_mix, y_mix}
    Train the model on the combined data {x_mix, y_mix}
end for
```

**Takeaways:**

- Selective mixup and resampling are equivalent in certain scenarios.
- Selective mixup has limits, and resampling is more effective in general.
- Combining selective mixup and resampling can provide further improvements."
